NOVA DISTÂNCIA (m),COTA INTERMEDIÁRIA (m)
20.0,458.8
40.0,535.6
60.0,612.4
80.0,689.2
120.0,772.0
140.0,778.0
160.0,784.0
180.0,790.0
220.0,674.2
240.0,552.4000000000001
260.0,430.60000000000014
280.0,308.79999999999995
320.0,247.60000000000002
340.0,308.20000000000016
360.0,368.80000000000007
380.0,429.4
420.0,481.2
440.0,472.4
460.0,463.6
480.0,454.8
520.0,486.19999999999993
540.0,526.4
560.0,566.6
580.0,606.8000000000001
620.0,659.6
640.0,672.2
660.0,684.8
680.0,697.4
720.0,719.0
740.0,728.0
760.0,737.0
780.0,746.0
820.0,659.3999999999996
840.0,563.7999999999997
860.0,468.1999999999998
880.0,372.59999999999945
920.0,317.60000000000014
940.0,358.20000000000005
960.0,398.79999999999995
980.0,439.4000000000001
